gare,agence,numTrain,Date Heure du train,typeTrain,dateHeure1erAffichageVoie,delaiAffichageVoieHorsRetard,delaiAffichageVoieRetardCompris,instantAffichageHorsRetard,instantAffichageRetardCompris,dernierRetardAffiche,nbrRetardsConfirmes,nbDevoiementsTotal,nbDevoiementsAffiches,nbDevoiementsNonAffiches
Nancy,AG Est-Européen,833603,05/05/2017 06:25:00,TER,05/05/2017 06:16:53,8,8,H-8.0,H-8,,0,,,
Chambéry - Challes-les-Eaux,AG Centre Est Rhône Alpin,17507,05/05/2017 06:37:00,TER,05/05/2017 06:17:07,20,20,H-20.0,H-20,,0,,,
Strasbourg,AG Est-Européen,830701,05/05/2017 06:37:00,TER,05/05/2017 06:17:33,19,19,H-19.0,H-19,,0,,,
Paris Saint-Lazare,AG Ile-de-France,130906,05/05/2017 06:29:00,TRANSILIEN,05/05/2017 06:19:02,10,10,H-10.0,H-10,,0,,,
Nîmes,AG Méditerranée,877501,05/05/2017 06:38:00,TER,05/05/2017 06:19:03,19,19,H-19.0,H-19,,0,,,
Nantes,AG Centre-Ouest,858150,05/05/2017 06:39:00,TER,05/05/2017 06:19:04,20,20,H-20.0,H-20,,0,,,
Strasbourg,AG Est-Européen,830503,05/05/2017 06:40:00,TER,05/05/2017 06:20:05,20,20,H-20.0,H-20,,0,,,
Nancy,AG Est-Européen,835800,05/05/2017 06:40:00,TER,05/05/2017 06:20:05,20,20,H-20.0,H-20,,0,,,
Clermont-Ferrand,AG Centre Est Rhône Alpin,874108,05/05/2017 06:37:00,TER,05/05/2017 06:20:23,17,17,H-17.0,H-17,,0,,,
Lyon Part Dieu,AG Centre Est Rhône Alpin,886802,05/05/2017 06:36:00,TER,05/05/2017 06:20:38,15,15,H-15.0,H-15,,0,,,
Strasbourg,AG Est-Européen,96200,05/05/2017 06:41:00,TER,05/05/2017 06:21:06,20,20,H-20.0,H-20,,0,,,
Bordeaux Saint-Jean,AG Sud-Ouest,866312,05/05/2017 06:41:00,TER,05/05/2017 06:21:11,20,20,H-20.0,H-20,,0,,,
Toulouse Matabiau,AG Sud-Ouest,3751,05/05/2017 06:30:00,INTERCITES,05/05/2017 06:21:54,8,8,H-8.0,H-8,,0,,,
Rennes,AG Centre-Ouest,854302,05/05/2017 06:41:00,TER,05/05/2017 06:22:08,19,19,H-19.0,H-19,,0,,,
Saint-Étienne Châteaucreux,AG Centre Est Rhône Alpin,889903,05/05/2017 06:52:00,TER,05/05/2017 06:22:09,30,50,H-30.0,H-50,00:20:00,1,,,
Lens,AG Manche-Nord,846405,05/05/2017 06:44:00,TER,05/05/2017 06:24:07,20,20,H-20.0,H-20,,0,,,
Metz Ville,AG Est-Européen,88703,05/05/2017 06:43:00,TER,05/05/2017 06:24:11,19,19,H-19.0,H-19,,0,,,
Lyon Part Dieu,AG Centre Est Rhône Alpin,889403,05/05/2017 06:39:00,TER,05/05/2017 06:24:47,14,14,H-14.0,H-14,,0,,,
Lyon Part Dieu,AG Centre Est Rhône Alpin,17600,05/05/2017 06:46:00,TER,05/05/2017 06:24:47,21,21,H-21.0,H-21,,0,,,
Nantes,AG Centre-Ouest,858502,05/05/2017 06:45:00,TER,05/05/2017 06:25:10,20,20,H-20.0,H-20,,0,,,
Nîmes,AG Méditerranée,876301,05/05/2017 06:44:00,TER,05/05/2017 06:25:50,18,18,H-18.0,H-18,,0,,,
Dijon,AG Centre Est Rhône Alpin,891400,05/05/2017 06:39:00,TER,05/05/2017 06:25:51,13,13,H-13.0,H-13,,0,,,
Toulouse Matabiau,AG Sud-Ouest,870051,05/05/2017 06:46:00,TER,05/05/2017 06:26:07,20,20,H-20.0,H-20,,0,,,
Toulouse Matabiau,AG Sud-Ouest,872700,05/05/2017 06:45:00,TER,05/05/2017 06:26:07,19,19,H-19.0,H-19,,0,,,
Le Mans,AG Centre-Ouest,8802,05/05/2017 06:47:00,TGV,05/05/2017 06:27:07,20,20,H-20.0,H-20,,0,,,
Lens,AG Manche-Nord,846404,05/05/2017 06:47:00,TER,05/05/2017 06:27:09,20,20,H-20.0,H-20,,0,,,
Montpellier Saint-Roch,AG Méditerranée,876403,05/05/2017 06:47:00,TER,05/05/2017 06:27:10,20,20,H-20.0,H-20,,0,,,
Strasbourg,AG Est-Européen,831302,05/05/2017 06:47:00,TER,05/05/2017 06:27:10,20,20,H-20.0,H-20,,0,,,
